BaitUnit,Protein,gamma1,gamma2,gamma3,lambda1,lambda2,lambda3,pi1,pi2,pi3,rep1,rep2,tau
Treat_TMEMV5,SNRPA,0.8753779897524312,1.1348222492003062e-10,0.12462201013321092,5.789256068903789,7.2365700861392535,8.683884103363807,0.5534859635977887,1.3827067593233304e-10,0.4465140362639406,7.0,3.0,0.03162277660168379
Treat_TMEMmyc,SNRPA,0.927226276852219,6.41011433980274e-11,0.07277372308275228,6.335755677356315,7.9196945967109125,9.503633516050957,0.5655549745098111,9.873477377208413e-11,0.4344450253914541,4.0,6.0,0.03162277660168379
Treat_TMEMmyc,SNRPA1,8.881077538248327e-09,6.721502798537958e-14,0.9999999911178551,6.335755677368679,7.9196945967109125,9.503633516196196,0.5655549745098111,9.873477377208413e-11,0.4344450253914541,35.0,27.0,0.03162277660168379
Treat_TMEMV5,SNRPA1,5.5770293432037486e-08,2.0748931989995674e-13,0.999999944228499,5.789256068911337,7.2365700861392535,8.683884103507832,0.5534859635977887,1.3827067593233304e-10,0.4465140362639406,28.0,28.0,0.03162277660168379
Treat_TMEMmyc,SNRPB,0.0005043250956079625,9.22870896394241e-12,0.9994956748941638,6.335755677368735,7.9196945967109125,9.503633516106328,0.5655549745098111,9.873477377208413e-11,0.4344450253914541,20.0,15.0,0.03162277660168379
Treat_TMEMV5,SNRPB,0.0006255041194967636,1.3737025130094517e-11,0.9993744958657668,5.789256068911411,7.2365700861392535,8.683884103424042,0.5534859635977887,1.3827067593233304e-10,0.4465140362639406,18.0,15.0,0.03162277660168379
Treat_TMEMV5,SNRPB2,0.6754578241426972,1.7102535280816258e-10,0.324542175685602,5.789256068916582,7.2365700861392535,8.68388410336199,0.5534859635977887,1.3827067593233304e-10,0.4465140362639406,7.0,6.0,0.03162277660168379
Treat_TMEMmyc,SNRPB2,0.9772735689410703,3.459124232041723e-11,0.022726431023361054,6.335755677341014,7.9196945967109125,9.503633516052231,0.5655549745098111,9.873477377208413e-11,0.4344450253914541,4.0,3.0,0.03162277660168379
Treat_TMEMV5,SNRPC,0.9876559615507305,3.356431828102796e-11,0.012344038414717283,5.789256068870452,7.2365700861392535,8.68388410336655,0.5534859635977887,1.3827067593233304e-10,0.4465140362639406,2.0,2.0,0.03162277660168379
Treat_TMEMmyc,SNRPC,0.9954274374145274,1.4431768765543875e-11,0.0045725625700453725,6.335755677320629,7.9196945967109125,9.503633516052895,0.5655549745098111,9.873477377208413e-11,0.4344450253914541,2.0,1.0,0.03162277660168379
Treat_TMEMV5,SNRPD1,0.4805211142474434,1.901055341610159e-10,0.5194788855619316,5.789256068920318,7.2365700861392535,8.68388410336267,0.5534859635977887,1.3827067593233304e-10,0.4465140362639406,7.0,8.0,0.03162277660168379
Treat_TMEMmyc,SNRPD1,0.7156493708958588,1.2078705470083342e-10,0.2843506289826385,6.335755677373424,7.9196945967109125,9.503633516048401,0.5655549745098111,9.873477377208413e-11,0.4344450253914541,8.0,6.0,0.03162277660168379
Treat_TMEMmyc,SNRPD2,0.0038170255824634186,2.2887869913814772e-11,0.9961829743936524,6.33575567736901,7.9196945967109125,9.503633516089577,0.5655549745098111,9.873477377208413e-11,0.4344450253914541,17.0,13.0,0.03162277660168379
Treat_TMEMV5,SNRPD2,0.07510829531610355,1.1335228195843922e-10,0.9248917045696192,5.789256068915203,7.2365700861392535,8.683884103379384,0.5534859635977887,1.3827067593233304e-10,0.4465140362639406,12.0,9.0,0.03162277660168379
Treat_TMEMV5,SNRPD3,0.3814448432043822,1.8863576833604455e-10,0.6185551566063634,5.78925606892055,7.2365700861392535,8.68388410336407,0.5534859635977887,1.3827067593233304e-10,0.4465140362639406,9.0,7.0,0.03162277660168379
Treat_TMEMmyc,SNRPD3,0.7156493708958588,1.2078705470083342e-10,0.2843506289826385,6.335755677373424,7.9196945967109125,9.503633516048401,0.5655549745098111,9.873477377208413e-11,0.4344450253914541,9.0,5.0,0.03162277660168379
Treat_TMEMV5,SNRPE,0.9133178241522387,9.472053440397932e-11,0.08668217575212736,5.7892560688984736,7.2365700861392535,8.683884103364509,0.5534859635977887,1.3827067593233304e-10,0.4465140362639406,5.0,4.0,0.03162277660168379
Treat_TMEMmyc,SNRPE,0.9897702046676986,2.2421484147619252e-11,0.010229795308889985,6.335755677330781,7.9196945967109125,9.503633516052664,0.5655549745098111,9.873477377208413e-11,0.4344450253914541,3.0,2.0,0.03162277660168379
Treat_TMEMmyc,SNRPF,0.8499121843822196,9.180664715958018e-11,0.1500878155251238,6.335755677365831,7.9196945967109125,9.503633516049641,0.5655549745098111,9.873477377208413e-11,0.4344450253914541,9.0,3.0,0.03162277660168379
Treat_TMEMV5,SNRPF,0.8753779897524312,1.1348222492003062e-10,0.12462201013321092,5.789256068903789,7.2365700861392535,8.683884103363807,0.5534859635977887,1.3827067593233304e-10,0.4465140362639406,7.0,3.0,0.03162277660168379
Treat_TMEMV5,SNRPG,0.9595254658927823,6.368815761536564e-11,0.040474534042569815,5.789256068887341,7.2365700861392535,8.68388410336562,0.5534859635977887,1.3827067593233304e-10,0.4465140362639406,4.0,3.0,0.03162277660168379
Treat_TMEMmyc,SNRPG,0.9772735689410703,3.459124232041723e-11,0.022726431023361054,6.335755677341014,7.9196945967109125,9.503633516052231,0.5655549745098111,9.873477377208413e-11,0.4344450253914541,5.0,2.0,0.03162277660168379
Treat_TMEMmyc,SNTA1,0.9954274374145274,1.4431768765543875e-11,0.0045725625700453725,6.335755677320629,7.9196945967109125,9.503633516052895,0.5655549745098111,9.873477377208413e-11,0.4344450253914541,2.0,1.0,0.03162277660168379
Treat_TMEMV5,SNTA1,0.9963104577414451,1.7335516714882448e-11,0.0036895422402230494,5.789256068853768,7.2365700861392535,8.683884103366932,0.5534859635977887,1.3827067593233304e-10,0.4465140362639406,0.0,1.0,0.03162277660168379
Treat_TMEMmyc,SNTB1,0.9931568016022484,1.799856118353332e-11,0.006843198378759802,6.335755677325694,7.9196945967109125,9.503633516052798,0.5655549745098111,9.873477377208413e-11,0.4344450253914541,2.0,2.0,0.03162277660168379
Treat_TMEMV5,SNTB1,0.9963104577414451,1.7335516714882448e-11,0.0036895422402230494,5.789256068853768,7.2365700861392535,8.683884103366932,0.5534859635977887,1.3827067593233304e-10,0.4465140362639406,1.0,0.0,0.03162277660168379
Treat_TMEMmyc,SNTB2,0.00014948270868432267,5.3425841163899505e-12,0.9998505172849731,6.335755677368698,7.9196945967109125,9.503633516116327,0.5655549745098111,9.873477377208413e-11,0.4344450253914541,20.0,18.0,0.03162277660168379
Treat_TMEMV5,SNTB2,0.002107944898838678,2.3702367844678836e-11,0.997892055076461,5.789256068911549,7.2365700861392535,8.683884103413053,0.5534859635977887,1.3827067593233304e-10,0.4465140362639406,17.0,13.0,0.03162277660168379
Treat_TMEMV5,SNU13,0.9404924686576229,7.803106158919648e-11,0.05950753126340539,5.7892560688929535,7.2365700861392535,8.68388410336512,0.5534859635977887,1.3827067593233304e-10,0.4465140362639406,5.0,3.0,0.03162277660168379
Treat_TMEMmyc,SNU13,0.9954274374145274,1.4431768765543875e-11,0.0045725625700453725,6.335755677320629,7.9196945967109125,9.503633516052895,0.5655549745098111,9.873477377208413e-11,0.4344450253914541,2.0,1.0,0.03162277660168379
Treat_TMEMmyc,SNW1,0.01276672541180415,3.919492018025142e-11,0.9872332745480135,6.335755677369592,7.9196945967109125,9.503633516079395,0.5655549745098111,9.873477377208413e-11,0.4344450253914541,14.0,13.0,0.03162277660168379
Treat_TMEMV5,SNW1,0.01578776825345473,5.8170548283225735e-11,0.9842122316873904,5.789256068912494,7.2365700861392535,8.683884103394506,0.5534859635977887,1.3827067593233304e-10,0.4465140362639406,14.0,11.0,0.03162277660168379
